Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,HybridPresent,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,176.4226,NA,7.30760000000000,6.93590000000000,0.27510000000000,0.31590000000000,6.0733,169.2760,7.4217,7.1466,0.2751,0.0000,7.5152,0.2186,7.2966,-0.2007,169.2760,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,177.4303,NA,8.01170000000000,6.94030000000000,0.11260000000000,0.56540000000000,12.0059,169.4891,8.0538,7.9412,0.1126,0.2856,8.2210,0.2281,7.9929,0.0435,169.4891,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,183.2032,NA,6.78060000000000,6.94030000000000,0.21630000000000,0.20880000000000,6.2330,176.6977,6.7218,6.5055,0.2163,0.0408,6.6735,0.2626,6.4109,0.4814,176.6977,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,183.8836,NA,6.45330000000000,6.94140000000000,0.10090000000000,0.38000000000000,12.4940,177.5429,6.4416,6.3407,0.1009,6.5340,0.1867,0.1867,0.0000,1.1124,177.5429,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,192.0665,NA,8.18290000000000,NA,0.13530000000000,0.42300000000000,NA,183.9845,8.2173,8.0820,0.1353,8.3085,0.1965,0.1965,0.0000,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,197.6383,NA,5.57180000000000,NA,0.07340000000000,0.34140000000000,NA,192.2018,5.5099,5.4365,0.0734,5.6984,0.0795,0.0795,0.0000,NA,NA,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,190.1422,NA,6.93900000000000,6.94140000000000,0.21040000000000,0.18350000000000,6.2354,183.4195,6.9331,6.7227,0.2104,0.0000,6.9137,0.1718,6.7419,-0.2196,183.4195,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,269.7081,NA,79.56590000000000,76.38820000000000,0.25860000000000,0.33830000000000,3.0577,190.3526,79.6141,79.3555,0.2586,0.0000,79.7207,0.1897,79.5310,-69.4551,190.3526,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,294.0533,NA,24.34520000000000,27.76770000000000,0.17770000000000,0.18870000000000,6.4802,269.9667,24.2643,24.0866,0.1777,0.0797,24.1956,0.1859,24.0097,51.8464,269.9667,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,412.1680,NA,118.11470000000000,118.07250000000001,0.17760000000000,0.14810000000000,6.4380,294.2310,118.1146,117.9370,0.1776,0.0110,118.0741,0.2127,117.8614,-93.8082,294.2310,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,206.6641,NA,9.02580000000000,76.38820000000000,0.08260000000000,0.39150000000000,66.1017,197.7117,9.0350,8.9524,0.0826,9.2431,0.1008,0.1008,0.0000,-56.2194,197.7117,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,419.0189,NA,6.85090000000000,6.95540000000000,0.35470000000000,0.28900000000000,6.5425,412.3456,7.0280,6.6733,0.3547,0.0000,6.9918,0.2530,6.7388,111.1592,412.3456,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,438.1352,NA,231.47110000000001,173.62910000000002,0.09320000000000,0.42370000000000,8.2597,206.7467,231.4817,231.3885,0.0932,231.6124,0.1998,0.1998,0.0000,-164.5941,206.7467,NA,NA,NA
