Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,HybridPresent,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9167.0130,NA,7.07470000000000,6.94230000000000,0.08310000000000,0.37620000000000,12.6968,9160.0266,7.0695,6.9864,0.0831,7.1631,0.1995,0.1995,0.0000,-0.0222,9160.0266,NA,NA,NA
msedgewebview2.exe,19228,0x143EDC84C90,DXGI,0,0,0,Composed: Flip,0,9173.8921,NA,34.92840000000000,NA,0.12180000000000,0.44880000000000,NA,9139.0671,34.9468,34.8250,0.1218,35.0882,0.1856,0.1856,0.0000,NA,NA,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,9173.6455,NA,7.02120000000000,6.94230000000000,0.29990000000000,0.22270000000000,6.0643,9166.8728,7.0726,6.7727,0.2999,0.0000,7.0170,0.2029,6.8141,0.0072,9166.8728,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9174.1380,NA,7.12500000000000,6.94370000000000,0.08890000000000,0.38330000000000,12.5155,9167.0961,7.1308,7.0419,0.0889,7.2448,0.1804,0.1804,0.0000,0.1258,9167.0961,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,9180.6864,NA,7.04090000000000,6.94370000000000,0.23660000000000,0.19620000000000,5.9671,9173.9454,6.9776,6.7410,0.2366,0.0000,7.0144,0.2862,6.7282,0.1289,9173.9454,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9181.2001,NA,7.06210000000000,6.94590000000000,0.07910000000000,0.42440000000000,12.3993,9174.2269,7.0523,6.9732,0.0791,7.1890,0.2086,0.2086,0.0000,0.1849,9174.2269,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,9187.7641,NA,7.07770000000000,6.94590000000000,0.36870000000000,0.26430000000000,5.8353,9180.9230,7.2098,6.8411,0.3687,0.0000,7.1458,0.2097,6.9361,0.0317,9180.9230,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9188.1633,NA,6.96320000000000,6.94890000000000,0.10550000000000,0.40180000000000,12.3850,9181.2792,6.9896,6.8841,0.1055,7.0604,0.2255,0.2216,0.0039,0.1034,9181.2792,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,9194.4089,NA,6.64480000000000,6.94890000000000,0.28080000000000,0.21130000000000,6.1394,9188.1328,6.5569,6.2761,0.2808,0.0000,6.5918,0.2623,6.3295,0.2609,9188.1328,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9194.7144,NA,6.55110000000000,6.92770000000000,0.09950000000000,0.55150000000000,12.7616,9188.2688,6.5451,6.4456,0.0995,6.6467,0.3504,0.2435,0.1069,0.0619,9188.2688,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9202.0246,NA,7.31020000000000,NA,0.18290000000000,0.65530000000000,NA,9194.8139,7.3936,7.2107,0.1829,7.2998,0.5662,0.5584,0.0078,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9208.8252,NA,6.80060000000000,NA,0.09060000000000,0.39230000000000,NA,9202.2075,6.7083,6.6177,0.0906,6.8083,0.2017,0.2017,0.0000,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9215.7770,NA,6.95180000000000,NA,0.11280000000000,0.51570000000000,NA,9208.9158,6.9740,6.8612,0.1128,7.1462,0.2307,0.1570,0.0737,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9222.2967,NA,6.51970000000000,NA,0.08180000000000,0.37690000000000,NA,9215.8898,6.4887,6.4069,0.0818,0.4635,6.3203,0.1760,6.1443,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9229.1137,NA,6.81700000000000,NA,0.07580000000000,0.39230000000000,NA,9222.3785,6.8110,6.7352,0.0758,6.9371,0.1904,0.1403,0.0501,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9236.3419,NA,7.22820000000000,NA,0.08380000000000,0.39190000000000,NA,9229.1895,7.2362,7.1524,0.0838,7.3871,0.1572,0.1358,0.0214,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9243.1935,NA,6.85160000000000,NA,0.06150000000000,0.68550000000000,NA,9236.4257,6.8293,6.7678,0.0615,7.0228,0.4305,0.2892,0.1413,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9250.4771,NA,7.28360000000000,NA,0.09850000000000,0.42130000000000,NA,9243.2550,7.3206,7.2221,0.0985,7.5110,0.1324,0.1288,0.0036,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9256.9275,NA,6.45040000000000,NA,0.07280000000000,0.40700000000000,NA,9250.5756,6.4247,6.3519,0.0728,6.6636,0.0953,0.0953,0.0000,NA,NA,NA,NA,NA
msedgewebview2.exe,19228,0x143EDC84C90,DXGI,0,0,0,Composed: Flip,0,9242.8843,NA,68.99220000000000,NA,0.09730000000000,0.84130000000000,NA,9174.0139,68.9677,68.8704,0.0973,69.2575,0.4542,0.3184,0.1358,NA,NA,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,9201.4290,NA,7.02010000000000,6.92770000000000,0.34000000000000,0.25480000000000,6.0470,9194.6897,7.0793,6.7393,0.3400,0.0000,7.0636,0.1962,6.8674,-0.3708,9194.6897,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9264.0780,NA,7.15050000000000,69.44140000000000,0.07880000000000,0.47820000000000,12.8394,9257.0003,7.1565,7.0777,0.0788,7.3096,0.2463,0.1422,0.1041,-0.7099,9257.0003,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,9270.9717,NA,69.54270000000000,69.44140000000000,0.25710000000000,0.24380000000000,5.9457,9201.7690,69.4598,69.2027,0.2571,0.0000,69.5317,0.3878,69.1439,-62.3621,9201.7690,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9270.9952,NA,6.91720000000000,6.94940000000000,0.08640000000000,0.90380000000000,12.8716,9264.1568,6.9248,6.8384,0.0864,7.2224,0.5198,0.4135,0.1063,0.2071,9264.1568,NA,NA,NA
msedgewebview2.exe,19228,0x143EDC84C90,DXGI,0,0,0,Composed: Flip,0,9277.7878,NA,34.90350000000000,NA,0.10170000000000,0.50520000000000,NA,9242.9816,34.9079,34.8062,0.1017,35.1214,0.1900,0.1900,0.0000,NA,NA,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,9277.6832,NA,6.71150000000000,6.94940000000000,0.17980000000000,0.12470000000000,6.1836,9271.2288,6.6342,6.4544,0.1798,0.0000,6.5924,0.3038,6.2886,62.5104,9271.2288,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,9277.9622,NA,6.96700000000000,6.94510000000000,0.08200000000000,0.52930000000000,12.8497,9271.0816,6.9626,6.8806,0.0820,7.2124,0.1975,0.1975,0.0000,-0.0203,9271.0816,NA,NA,NA
