Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,HybridPresent,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,73.6047,NA,7.22260000000000,6.88970000000000,0.05680000000000,0.31170000000000,19.0238,66.4423,7.2192,7.1624,0.0568,7.2623,0.2118,0.2118,0.0000,0.0284,66.4423,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,79.1631,NA,6.97330000000000,6.88970000000000,0.10930000000000,0.12400000000000,13.4654,72.3094,6.9630,6.8537,0.1093,0.0188,6.9589,0.1963,6.7626,-0.0146,72.3094,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,80.3537,NA,6.74900000000000,6.94620000000000,0.05200000000000,0.39190000000000,19.2210,73.6615,6.7442,6.6922,0.0520,6.8729,0.2112,0.2112,0.0000,0.2730,73.6615,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,86.1339,NA,6.97080000000000,6.94620000000000,0.15540000000000,0.19700000000000,13.4408,79.2724,7.0169,6.8615,0.1554,0.0147,7.0438,0.2261,6.8177,0.0168,79.2724,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,87.5073,NA,7.15360000000000,6.95950000000000,0.05810000000000,0.21960000000000,19.0269,80.4057,7.1597,7.1016,0.0581,7.1089,0.2123,0.2123,0.0000,-0.2153,80.4057,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,93.0552,NA,6.92130000000000,6.95950000000000,0.12040000000000,0.16210000000000,13.4790,86.2893,6.8863,6.7659,0.1204,0.0416,6.8864,0.1764,6.7100,0.0574,86.2893,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,94.5857,NA,7.07840000000000,6.99040000000000,0.06260000000000,0.34580000000000,18.9389,87.5654,7.0829,7.0203,0.0626,7.1513,0.2148,0.2148,0.0000,0.1693,87.5654,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,100.0210,NA,6.96580000000000,6.99040000000000,0.30570000000000,0.32480000000000,13.5036,93.1756,7.1511,6.8454,0.3057,0.0417,7.1285,0.1968,6.9317,-0.1041,93.1756,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,103.0570,NA,8.47130000000000,6.89860000000000,0.08870000000000,0.42720000000000,17.3662,94.6483,8.4974,8.4087,0.0887,8.5994,0.2365,0.2365,0.0000,0.1843,94.6483,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,107.0772,NA,7.05620000000000,6.89860000000000,0.16550000000000,0.13360000000000,13.3460,100.3267,6.9160,6.7505,0.1655,0.0191,6.8650,0.1972,6.6678,0.2525,100.3267,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,108.9354,NA,5.87840000000000,6.92890000000000,0.07640000000000,0.40680000000000,18.4167,103.1457,5.8661,5.7897,0.0764,0.4060,5.7905,0.2542,5.5363,1.5685,103.1457,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,114.0600,NA,6.98280000000000,6.92890000000000,0.13120000000000,0.10930000000000,13.2921,107.2427,6.9485,6.8173,0.1312,0.0000,6.9585,0.1955,6.7630,-0.0129,107.2427,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,115.5757,NA,6.64030000000000,6.99020000000000,0.05920000000000,0.32350000000000,18.7666,109.0118,6.6231,6.5639,0.0592,6.6735,0.2139,0.2139,0.0000,-1.1241,109.0118,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,120.9721,NA,6.91210000000000,6.99020000000000,0.19510000000000,0.14800000000000,13.3702,114.1912,6.9760,6.7809,0.1951,0.0000,6.9508,0.2013,6.7495,-0.0417,114.1912,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,123.1311,NA,7.55540000000000,6.89860000000000,0.07220000000000,0.39050000000000,18.1098,115.6349,7.5684,7.4962,0.0722,7.6719,0.2148,0.2148,0.0000,-0.2755,115.6349,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,127.7362,NA,6.76410000000000,6.89860000000000,0.13350000000000,0.26470000000000,13.5047,121.1672,6.7025,6.5690,0.1335,0.0000,6.8808,0.1978,6.6830,0.0774,121.1672,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,128.8205,NA,5.68940000000000,6.95040000000000,0.05080000000000,0.30770000000000,19.3708,123.2033,5.6680,5.6172,0.0508,5.7115,0.2134,0.2134,0.0000,0.6180,123.2033,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,134.7622,NA,7.02600000000000,6.95040000000000,0.14130000000000,0.23670000000000,13.4291,127.8697,7.0338,6.8925,0.1413,0.1312,6.9980,0.1932,6.8048,-0.2479,127.8697,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,135.7781,NA,6.95760000000000,6.95140000000000,0.04920000000000,0.21970000000000,19.3646,128.8713,6.9560,6.9068,0.0492,6.9045,0.2220,0.2220,0.0000,-1.2834,128.8713,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,141.8074,NA,7.04520000000000,6.95140000000000,0.16130000000000,0.22170000000000,13.3353,134.9035,7.0652,6.9039,0.1613,0.0954,7.0302,0.2391,6.7911,0.0824,134.9035,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,142.8403,NA,7.06220000000000,6.95410000000000,0.06140000000000,0.32040000000000,19.2565,135.8273,7.0744,7.0130,0.0614,7.1191,0.2143,0.2143,0.0000,0.0019,135.8273,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,148.7122,NA,6.90480000000000,6.95410000000000,0.12430000000000,0.14230000000000,13.3846,141.9687,6.8678,6.7435,0.1243,0.0604,6.8254,0.1671,6.6583,0.1111,141.9687,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,149.8342,NA,6.99390000000000,6.93950000000000,0.06260000000000,0.42670000000000,19.2021,142.9017,6.9951,6.9325,0.0626,7.1466,0.2126,0.2126,0.0000,0.1349,142.9017,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,155.7015,NA,6.98930000000000,6.93950000000000,0.14960000000000,0.22420000000000,13.3348,148.8365,7.0146,6.8650,0.1496,0.0180,7.0712,0.1986,6.8726,-0.0717,148.8365,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,157.0025,NA,7.16830000000000,6.94790000000000,0.07300000000000,0.37130000000000,18.9817,149.8968,7.1787,7.1057,0.0730,7.2660,0.2110,0.2110,0.0000,0.0472,149.8968,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,162.7789,NA,7.07740000000000,6.94790000000000,0.20370000000000,0.19310000000000,13.2053,155.8511,7.1315,6.9278,0.2037,0.0746,7.0463,0.2123,6.8340,0.0667,155.8511,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,164.6439,NA,7.64140000000000,6.94110000000000,0.08400000000000,0.52040000000000,18.2814,157.0755,7.6524,7.5684,0.0840,7.8732,0.2156,0.2156,0.0000,0.2376,157.0755,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,169.6541,NA,6.87520000000000,6.94110000000000,0.18110000000000,0.18420000000000,13.2712,162.9826,6.8526,6.6715,0.1811,0.0000,6.8663,0.1991,6.6672,0.1904,162.9826,NA,NA,NA
